Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT04785898,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,COVID-IDNow,"Active, not recruiting",No Results Available,Covid19,Diagnostic Test: ID Now™ COVID-19 Screening Test,Evaluate the diagnostic performance of the ID Now ™ COVID-19 test carried out by nurses in an emergency department in comparison with the reference PCR test: Simplexa ™ COVID-19 Direct,Groupe Hospitalier Paris Saint Joseph,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,1000,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,COVID-IDNow,9-Nov-20,22-Dec-20,30-Apr-21,8-Mar-21,,8-Mar-21,"Groupe Hospitalier Paris Saint-Joseph, Paris, Ile De France, France",,https://ClinicalTrials.gov/show/NCT04785898
2,NCT04595136,Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient,COVID-19,Not yet recruiting,No Results Available,SARS-CoV-2 Infection,Drug: Drug COVID19-0001-USR|Drug: normal saline,Change on viral load results from baseline after using COVID19-0001-USR via nebulization,United Medical Specialties,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,60,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",COVID19-0001-USR,2-Nov-20,15-Dec-20,29-Jan-21,20-Oct-20,,20-Oct-20,"Cimedical, Barranquilla, Atlantico, Colombia",,https://ClinicalTrials.gov/show/NCT04595136
3,NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,TAC-COVID19,Recruiting,No Results Available,covid19,Other: Lung CT scan analysis in COVID-19 patients,A qualitative analysis of parenchymal lung damage induced by COVID-19|A quantitative analysis of parenchymal lung damage induced by COVID-19|The potential impact of parenchymal morphological CT scans in patients with severe moderate respiratory failure.|Automated segmentation of lung scans of patients with COVID-19 and ARDS.|Knowledge of chest CT features in COVID-19 patients and their detail through the use of machine learning and other quantitative techniques.|The ability within which the analysis of artificial intelligence that uses deep learning models can be used to predict clinical outcomes,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",,500,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,TAC-COVID19,7-May-20,15-Jun-21,15-Jun-21,20-May-20,,9-Nov-20,"Ospedale Papa Giovanni XXIII, Bergamo, Italy|Policlinico San Marco-San Donato group, Bergamo, Italy|Azienda Ospedaliero-Universitaria di Ferrara, Ferrara, Italy|ASST di Lecco Ospedale Alessandro Manzoni, Lecco, Italy|ASST Melegnano-Martesana, Ospedale Santa Maria delle Stelle, Melzo, Italy|ASST Monza, Monza, Italy|AUSL Romagna-Ospedale Infermi di Rimini, Rimini, Italy|Istituto per la Sicurezza Sociale-Ospedale della Repubblica di San Marino, San Marino, San Marino",,https://ClinicalTrials.gov/show/NCT04395482
4,NCT04416061,The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic,COVID-19,"Active, not recruiting",No Results Available,COVID,Diagnostic Test: COVID 19 Diagnostic Test,Proportion of asymptomatic subjects|Proportion of subjects with recent contact history|Proportion of subjects with recent travel history,Hong Kong Sanatorium & Hospital,All,"Child, Adult, Older Adult",,2500,Industry,Observational,Observational Model: Cohort|Time Perspective: Retrospective,RC-2020-08,25-May-20,31-Jul-20,31-Aug-20,4-Jun-20,,4-Jun-20,"Hong Kong Sanatorium & Hospital, Hong Kong, Hong Kong",,https://ClinicalTrials.gov/show/NCT04416061
5,NCT04395924,Maternal-foetal Transmission of SARS-Cov-2,TMF-COVID-19,Recruiting,No Results Available,Maternal Fetal Infection Transmission|COVID-19|SARS-CoV 2,"Diagnostic Test: Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta",COVID-19 by positive PCR in cord blood and / or positive serologies|COVID-19 by positive PCR in amniotic fluid and placenta|New born infected by COVID-19,Centre Hospitalier Régional d'Orléans|Centre de Biophysique Moléculaire - Pr Chantal Pichon|Professeur TOUMI Hechmi,Female,18 Years to 48 Years   (Adult),,50,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,CHRO-2020-10,5-May-20,May-21,May-21,20-May-20,,4-Jun-20,"CHR Orléans, Orléans, France",,https://ClinicalTrials.gov/show/NCT04395924
6,NCT04516954,Convalescent Plasma for COVID-19 Patients,CPCP,Enrolling by invitation,No Results Available,COVID 19,Biological: Convalescent COVID 19 Plasma,Evaluate the safety|Change in requirement for mechanical ventilatory support,"Vinmec Research Institute of Stem Cell and Gene Technology|National Institute of Hygiene and Epidemiology, Vietnam|National Hospital for Tropical Diseases, Hanoi, Vietnam|National Institute of Hematology and Blood Transfusion, Vietnam",All,"18 Years to 75 Years   (Adult, Older Adult)",Early Phase 1,10,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ISC.20.11.1,1-Aug-20,30-Nov-20,30-Dec-20,18-Aug-20,,20-Aug-20,"Vinmec Research Institute of Stem cell and Gene Technology, Hanoi, Vietnam",,https://ClinicalTrials.gov/show/NCT04516954
7,NCT04476940,COVID-19 Breastfeeding Guideline for African-Americans,COVID-BF,Not yet recruiting,No Results Available,Covid19|Exclusive Breastfeeding,Behavioral: COVID-19 Breastfeeding Support,COVID-19 breastfeeding guidance adherence at birth.|COVID-19 breastfeeding guidance adherence at 1-month postpartum.|COVID-19 breastfeeding guidance adherence at 3-months postpartum.|Exclusive breastfeeding at birth.|Exclusive breastfeeding at 1-month.|Exclusive breastfeeding at 3-months.|COVID_Status|COVID-19 Immunoglobulin G|COVID-19 Immunoglobulin M,Meharry Medical College,Female,18 Years to 45 Years   (Adult),Not Applicable,200,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,330875,Sep-20,Oct-21,Jun-22,20-Jul-20,,20-Jul-20,"Meharry Medical College, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04476940
8,NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,COVID19,Not yet recruiting,No Results Available,Covid19|Type2 Diabetes,,"Severity of COVID 19 among people with and without diabetes|Number of patients who were in ICU|Number of patients who had tracheal intubation|Number of patients who had respiratory complication|Number of death|Correlation of BMI with complications, tracheal intubation and mortality|Length of hospital stay",India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,All,"18 Years to 99 Years   (Adult, Older Adult)",,1050,Other,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,IDRFARH015,16-Nov-20,16-Feb-21,16-May-21,18-Nov-20,,18-Nov-20,"Orthomed Hospital, Chennai, Tamil Nadu, India|Medway Hospital, Chennai, Tamil Nadu, India|Venkateswara Hospital, Chennai, Tamil Nadu, India|Dr. Rela Institute & Medical Center, Chennai, Tamil Nadu, India",,https://ClinicalTrials.gov/show/NCT04634214
9,NCT04602884,Early Detection of COVID-19 Using Breath Analysis,COVID-19,Suspended,No Results Available,Covid19,Diagnostic Test: Breath biopsy sampling using the ReCIVA Breath Sampler,Correlation between Volatile Organic Compounds pattern and COVID-19 detection status.|Correlation between Volatile Organic Compounds pattern and time from COVID-19 detection.|Correlation between the set of Volatile Organic Compounds found in breath biopsy and disease intensity.,Scentech Medical Technologies Ltd,All,18 Years to 55 Years   (Adult),Not Applicable,50,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,Cov-2-IDF,22-Sep-20,30-Dec-21,30-Dec-21,26-Oct-20,,13-Apr-21,"IDF COVID 19 Isolation Facility, Ashkelon, Israel",,https://ClinicalTrials.gov/show/NCT04602884
10,NCT04384588,COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID),FALP-COVID,Recruiting,No Results Available,COVID-19 Infection|Cancer Patients|General Population,Biological: Convalescent Plasma from COVID-19 donors,"in-hospital mortality secondary to COVID-19 among patients treated with convalescent plasma|safety of the use of convalescent plasma drom COVID 19 donors|Mortality at 30 days, 90 days, 6 months and 1 year|in-hospital Mortality COVID-19 related compared with non-treated population according to Chilean official reports|Number of days of hospitalization in high complexity facilities after convalescent plasma use|Number of days of hospitalization in intensive care unit after convalescent plasma use|Number of days of mechanical ventilatory support in patients after convalescent plasma use|Total number of days of mechanical ventilatory support|Total number of hospitalization days in patients treated with convalescent plasma|Number of hospitalization days in patients after treatment with convalescent plasma|Viral load measuring|Immunological response in treated patients (COVID19-Immunoglobulin M and Immunoglobulin G, neutralizing antibodies)|Negativization of COVID 19 load since convalescent plasma use|Negativization of COVID 19 load since hospitalization|Negativization of COVID 19 load since first reported symptoms COVID-19 related|Donor Interferon Gamma profile characterization|Donor Granulocyte Macrophage Colony Stimulating Factor characterization|Donor Tumor Necrosis Factor Alfa characterization|Donor Interleukin -1 beta characterization|Donor Interleukin-2 characterization|Donor Interleukin-4 characterization|Donor Interleukin-6 characterization|Donor Interleukin-8 characterization|Donor Interleukin-10 characterization|Receptor Interferon Gamma profile characterization|Receptor Granulocyte Macrophage Colony Stimulating Factor characterization|receptor Tumor Necrosis Factor Alfa characterization|receptor Interleukin -1 beta characterization|Receptor Interleukin-2 characterization|Receptor Interleukin-4 characterization|Receptor Interleukin-6 characterization|Receptor Interleukin-8 characterization|Receptor Interleukin-10 characterization",Fundacion Arturo Lopez Perez|Confederación de la Producción y del Comercio (CPC)|Bolsa de Santiago,All,"15 Years and older   (Child, Adult, Older Adult)",Phase 2|Phase 3,100,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FALP 001-2020,7-Apr-20,6-Apr-21,6-Apr-21,12-May-20,,12-May-20,"Fundacion Arturo Lopez Perez, Providencia, Santiago, Chile",,https://ClinicalTrials.gov/show/NCT04384588
